date,park,time,courts,applications,ratio
20221001,日比谷公園,900-1100,5,57,11.4
20221002,日比谷公園,900-1100,5,92,18.4
20221004,日比谷公園,900-1100,5,9,1.8
20221005,日比谷公園,900-1100,5,16,3.2
20221006,日比谷公園,900-1100,5,20,4.0
20221007,日比谷公園,900-1100,5,13,2.6
20221001,日比谷公園,1100-1300,5,58,11.6
20221002,日比谷公園,1100-1300,5,90,18.0
20221003,日比谷公園,1100-1300,5,11,2.2
20221004,日比谷公園,1100-1300,5,2,0.4
20221005,日比谷公園,1100-1300,5,45,9.0
20221006,日比谷公園,1100-1300,5,43,8.6
20221007,日比谷公園,1100-1300,5,24,4.8
20221001,日比谷公園,1300-1500,5,60,12.0
20221002,日比谷公園,1300-1500,5,90,18.0
20221003,日比谷公園,1300-1500,5,11,2.2
20221004,日比谷公園,1300-1500,5,35,7.0
20221005,日比谷公園,1300-1500,5,27,5.4
20221006,日比谷公園,1300-1500,5,30,6.0
20221007,日比谷公園,1300-1500,5,19,3.8
20221001,日比谷公園,1500-1700,5,83,16.6
20221002,日比谷公園,1500-1700,5,123,24.6
20221003,日比谷公園,1500-1700,5,10,2.0
20221004,日比谷公園,1500-1700,5,13,2.6
20221005,日比谷公園,1500-1700,5,6,1.2
20221006,日比谷公園,1500-1700,5,13,2.6
20221007,日比谷公園,1500-1700,5,20,4.0
20221001,日比谷公園,1700-1900,5,50,10.0
20221002,日比谷公園,1700-1900,5,44,8.8
20221003,日比谷公園,1700-1900,5,9,1.8
20221004,日比谷公園,1700-1900,5,10,2.0
20221005,日比谷公園,1700-1900,5,11,2.2
20221006,日比谷公園,1700-1900,5,9,1.8
20221007,日比谷公園,1700-1900,5,9,1.8
20221001,日比谷公園,1900-2100,5,25,5.0
20221002,日比谷公園,1900-2100,5,22,4.4
20221003,日比谷公園,1900-2100,5,35,7.0
20221004,日比谷公園,1900-2100,5,34,6.8
20221005,日比谷公園,1900-2100,5,34,6.8
20221006,日比谷公園,1900-2100,5,44,8.8
